Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,451.07960000,0.42089070,1.57941700
0.00200000,451.07960000,0.42089070,1.97465500
0.00400000,451.07960000,0.42089070,1.97465500
0.00600000,451.07960000,0.42089070,2.76359500
0.00800000,455.04730000,0.42089070,1.57941700
0.01000000,455.04730000,0.42089070,3.15883400
0.01200000,455.04730000,0.42089070,1.97465500
0.01400000,451.07960000,0.41295520,3.15883400
0.01600000,451.07960000,0.42089070,1.57941700
0.01800000,451.07960000,0.41295520,1.57941700
0.02000000,451.07960000,0.42089070,1.57941700
0.02200000,455.04730000,0.42089070,2.36835600
0.02400000,455.04730000,0.41295520,3.55407200
0.02600000,447.12720000,0.41295520,2.36835600
0.02800000,447.12720000,0.41295520,2.36835600
0.03000000,451.07960000,0.42089070,1.97465500
0.03200000,451.07960000,0.41295520,3.15883400
0.03400000,455.04730000,0.41295520,2.76359500
0.03600000,451.07960000,0.41295520,3.55407200
0.03800000,451.07960000,0.42089070,3.15883400
0.04000000,451.07960000,0.41295520,1.57941700
0.04200000,451.07960000,0.41295520,2.36835600
0.04400000,447.12720000,0.41295520,2.76359500
0.04600000,455.04730000,0.41295520,1.57941700
0.04800000,447.12720000,0.42089070,1.18417800
0.05000000,455.04730000,0.42089070,2.36835600
0.05200000,451.07960000,0.42089070,2.36835600
0.05400000,451.07960000,0.41295520,3.94931100
0.05600000,451.07960000,0.41295520,1.97465500
0.05800000,451.07960000,0.42089070,2.76359500
0.06000000,451.07960000,0.42089070,2.76359500
0.06200000,455.04730000,0.42089070,3.15883400
0.06400000,451.07960000,0.42089070,3.55407200
0.06600000,451.07960000,0.41295520,1.57941700
0.06800000,451.07960000,0.42089070,2.36835600
0.07000000,455.04730000,0.42089070,1.57941700
0.07200000,451.07960000,0.42089070,1.97465500
0.07399999,451.07960000,0.41295520,1.57941700
0.07599999,451.07960000,0.41295520,3.55407200
0.07799999,451.07960000,0.41295520,4.34454900
0.07999999,455.04730000,0.42089070,3.15883400
0.08199999,458.99970000,0.42089070,3.94931100
0.08399999,451.07960000,0.41295520,2.76359500
0.08599999,455.04730000,0.42089070,3.55407200
0.08799999,455.04730000,0.42089070,1.97465500
0.08999999,458.99970000,0.42089070,3.15883400
0.09199999,455.04730000,0.41295520,2.76359500
0.09399999,458.99970000,0.41295520,3.15883400
0.09599999,455.04730000,0.42089070,1.57941700
0.09799999,455.04730000,0.42089070,2.76359500
0.09999999,455.04730000,0.42089070,3.15883400
0.10199999,455.04730000,0.41295520,0.78893940
0.10399999,447.12720000,0.41295520,3.15883400
0.10599999,451.07960000,0.41295520,2.36835600
0.10799999,455.04730000,0.41295520,3.15883400
0.10999999,451.07960000,0.41295520,3.55407200
0.11199999,451.07960000,0.41295520,3.15883400
0.11399999,455.04730000,0.41295520,3.55407200
0.11599999,451.07960000,0.41295520,3.15883400
0.11799999,455.04730000,0.41295520,3.15883400
0.11999999,455.04730000,0.41295520,1.57941700
0.12199999,455.04730000,0.41295520,3.15883400
0.12399999,455.04730000,0.41295520,2.76359500
0.12599999,455.04730000,0.42089070,3.15883400
