Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,435.25460000,0.44472810,-2.76359500
0.00200000,431.30220000,0.43679260,-1.18417800
0.00400000,427.34990000,0.43679260,-1.57941700
0.00600000,427.34990000,0.43679260,-1.97465500
0.00800000,431.30220000,0.44472810,-4.34454900
0.01000000,431.30220000,0.44472810,-2.36835600
0.01200000,427.34990000,0.43679260,-3.94931100
0.01400000,419.42970000,0.43679260,-1.97465500
0.01600000,423.38210000,0.44472810,-3.15883400
0.01800000,423.38210000,0.44472810,-1.18417800
0.02000000,423.38210000,0.44472810,-1.97465500
0.02200000,427.34990000,0.44472810,-3.94931100
0.02400000,423.38210000,0.43679260,-2.76359500
0.02600000,427.34990000,0.44472810,-1.97465500
0.02800000,427.34990000,0.44472810,-2.36835600
0.03000000,431.30220000,0.44472810,-1.57941700
0.03200000,427.34990000,0.43679260,-2.76359500
0.03400000,431.30220000,0.44472810,-1.57941700
0.03600000,431.30220000,0.43679260,-1.57941700
0.03800000,431.30220000,0.44472810,-3.15883400
0.04000000,427.34990000,0.43679260,-1.97465500
0.04200000,431.30220000,0.44472810,-1.18417800
0.04400000,427.34990000,0.44472810,-1.97465500
0.04600000,431.30220000,0.44472810,-2.36835600
0.04800000,427.34990000,0.43679260,-2.36835600
0.05000000,431.30220000,0.44472810,-1.18417800
0.05200000,427.34990000,0.43679260,-1.97465500
0.05400000,427.34990000,0.44472810,-1.18417800
0.05600000,427.34990000,0.44472810,-1.18417800
0.05800000,427.34990000,0.44472810,-3.15883400
0.06000000,427.34990000,0.44472810,-3.55407200
0.06200000,427.34990000,0.44472810,-1.97465500
0.06400000,423.38210000,0.44472810,-3.15883400
0.06600000,423.38210000,0.44472810,-1.97465500
0.06800000,427.34990000,0.44472810,-1.97465500
0.07000000,427.34990000,0.45266360,-2.36835600
0.07200000,423.38210000,0.44472810,-1.97465500
0.07399999,431.30220000,0.45266360,-2.36835600
0.07599999,419.42970000,0.44472810,-1.97465500
0.07799999,423.38210000,0.44472810,-3.55407200
0.07999999,423.38210000,0.44472810,-2.76359500
0.08199999,423.38210000,0.44472810,-3.15883400
0.08399999,423.38210000,0.43679260,-2.36835600
0.08599999,423.38210000,0.43679260,-1.57941700
0.08799999,431.30220000,0.44472810,-1.57941700
0.08999999,423.38210000,0.43679260,-3.15883400
0.09199999,427.34990000,0.43679260,-2.76359500
0.09399999,427.34990000,0.43679260,-2.36835600
0.09599999,423.38210000,0.43679260,-1.97465500
0.09799999,427.34990000,0.43679260,-0.78893940
0.09999999,427.34990000,0.43679260,-0.78893940
0.10199999,431.30220000,0.44472810,-2.76359500
0.10399999,423.38210000,0.43679260,-2.36835600
0.10599999,423.38210000,0.43679260,-2.36835600
0.10799999,423.38210000,0.43679260,-1.57941700
0.10999999,423.38210000,0.43679260,-3.15883400
0.11199999,423.38210000,0.44472810,-2.76359500
0.11399999,427.34990000,0.44472810,-1.18417800
0.11599999,423.38210000,0.44472810,-3.94931100
0.11799999,423.38210000,0.44472810,-3.15883400
0.11999999,427.34990000,0.44472810,-2.76359500
0.12199999,427.34990000,0.44472810,-4.34454900
