Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,403.60480000,0.46059920,-5.92396600
0.00200000,415.47730000,0.45266360,-3.15883400
0.00400000,427.34990000,0.44472810,-2.36835600
0.00600000,431.30220000,0.43679260,-1.18417800
0.00800000,435.25460000,0.42882630,0.00000000
0.01000000,439.20700000,0.42089070,0.78893940
0.01200000,443.17480000,0.42089070,1.97465500
0.01400000,439.20700000,0.42882630,1.97465500
0.01600000,443.17480000,0.42882630,1.97465500
0.01800000,439.20700000,0.42882630,0.78893940
0.02000000,443.17480000,0.43679260,0.39370070
0.02200000,435.25460000,0.42882630,0.39370070
0.02400000,439.20700000,0.43679260,-0.39370070
0.02600000,435.25460000,0.42882630,-0.39370070
0.02800000,435.25460000,0.43679260,-0.78893940
0.03000000,435.25460000,0.43679260,0.39370070
0.03200000,439.20700000,0.42882630,-0.78893940
0.03400000,439.20700000,0.42882630,-1.57941700
0.03600000,435.25460000,0.42882630,0.78893940
0.03800000,439.20700000,0.42882630,-0.39370070
0.04000000,435.25460000,0.43679260,-0.39370070
0.04200000,427.34990000,0.43679260,-1.97465500
0.04400000,423.38210000,0.43679260,-3.55407200
0.04600000,419.42970000,0.45266360,-4.73825000
0.04800000,407.55720000,0.46059920,-5.52872800
0.05000000,399.63700000,0.47650100,-7.89862200
0.05200000,391.73220000,0.47650100,-10.26852000
0.05400000,383.81210000,0.48443650,-8.68909800
0.05600000,383.81210000,0.48443650,-9.47803900
0.05800000,383.81210000,0.48443650,-9.08433800
0.06000000,391.73220000,0.47650100,-9.08433800
0.06200000,395.68460000,0.46853470,-8.29386000
0.06400000,407.55720000,0.46059920,-5.13348900
0.06600000,411.50960000,0.44472810,-4.34454900
0.06800000,427.34990000,0.43679260,-3.15883400
0.07000000,435.25460000,0.42882630,0.00000000
0.07200000,435.25460000,0.42089070,0.00000000
0.07399999,443.17480000,0.42089070,1.18417800
0.07599999,451.07960000,0.42882630,1.57941700
0.07799999,447.12720000,0.42089070,0.78893940
0.07999999,443.17480000,0.42089070,1.18417800
0.08199999,443.17480000,0.42882630,1.97465500
0.08399999,443.17480000,0.42882630,1.97465500
0.08599999,439.20700000,0.42882630,0.78893940
0.08799999,439.20700000,0.42882630,1.18417800
0.08999999,439.20700000,0.42882630,0.78893940
0.09199999,443.17480000,0.42882630,1.18417800
0.09399999,447.12720000,0.42089070,-0.39370070
0.09599999,447.12720000,0.42089070,1.97465500
0.09799999,447.12720000,0.42882630,1.57941700
0.09999999,447.12720000,0.42089070,0.78893940
0.10199999,443.17480000,0.42882630,1.18417800
0.10399999,439.20700000,0.42882630,0.78893940
0.10599999,435.25460000,0.43679260,0.00000000
0.10799999,431.30220000,0.43679260,-1.97465500
0.10999999,423.38210000,0.44472810,-5.13348900
0.11199999,411.50960000,0.46059920,-6.71444300
0.11399999,403.60480000,0.46853470,-6.71444300
0.11599999,395.68460000,0.47650100,-8.29386000
0.11799999,391.73220000,0.47650100,-8.68909800
0.11999999,387.77990000,0.47650100,-10.66375000
0.12199999,391.73220000,0.47650100,-9.87327700
0.12399999,395.68460000,0.46853470,-8.29386000
