Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,439.20700000,0.42882630,-0.78893940
0.00200000,435.25460000,0.42882630,0.00000000
0.00400000,439.20700000,0.42882630,0.39370070
0.00600000,435.25460000,0.42882630,0.00000000
0.00800000,447.12720000,0.42882630,0.00000000
0.01000000,439.20700000,0.42882630,0.00000000
0.01200000,439.20700000,0.42882630,0.78893940
0.01400000,439.20700000,0.42882630,0.39370070
0.01600000,435.25460000,0.42882630,-1.57941700
0.01800000,431.30220000,0.43679260,0.00000000
0.02000000,427.34990000,0.43679260,-2.36835600
0.02200000,427.34990000,0.43679260,-0.39370070
0.02400000,427.34990000,0.44472810,-3.15883400
0.02600000,423.38210000,0.44472810,-2.76359500
0.02800000,427.34990000,0.44472810,-1.97465500
0.03000000,427.34990000,0.44472810,-2.36835600
0.03200000,431.30220000,0.43679260,-2.36835600
0.03400000,435.25460000,0.43679260,-1.18417800
0.03600000,435.25460000,0.43679260,-0.39370070
0.03800000,443.17480000,0.42882630,0.78893940
0.04000000,443.17480000,0.42089070,0.00000000
0.04200000,443.17480000,0.42089070,1.18417800
0.04400000,447.12720000,0.41295520,1.18417800
0.04600000,451.07960000,0.42089070,1.97465500
0.04800000,451.07960000,0.42089070,2.36835600
0.05000000,451.07960000,0.42089070,3.15883400
0.05200000,447.12720000,0.42089070,1.97465500
0.05400000,443.17480000,0.42089070,2.36835600
0.05600000,443.17480000,0.42089070,0.39370070
0.05800000,443.17480000,0.42882630,0.78893940
0.06000000,439.20700000,0.42882630,0.78893940
0.06200000,439.20700000,0.42882630,-0.39370070
0.06400000,435.25460000,0.42882630,0.00000000
0.06600000,439.20700000,0.42882630,0.78893940
0.06800000,443.17480000,0.42882630,0.00000000
0.07000000,443.17480000,0.42882630,0.00000000
0.07200000,435.25460000,0.42089070,0.78893940
0.07399999,439.20700000,0.42882630,0.78893940
0.07599999,439.20700000,0.42882630,0.39370070
0.07799999,439.20700000,0.42882630,0.78893940
0.07999999,431.30220000,0.42882630,0.00000000
0.08199999,427.34990000,0.43679260,-1.18417800
0.08399999,431.30220000,0.43679260,-1.57941700
0.08599999,427.34990000,0.43679260,-1.57941700
0.08799999,423.38210000,0.43679260,-2.76359500
0.08999999,427.34990000,0.44472810,-2.76359500
0.09199999,423.38210000,0.43679260,-1.57941700
0.09399999,427.34990000,0.43679260,-1.97465500
0.09599999,431.30220000,0.43679260,-0.39370070
0.09799999,431.30220000,0.43679260,0.39370070
0.09999999,435.25460000,0.42882630,0.78893940
0.10199999,443.17480000,0.42089070,0.00000000
0.10399999,443.17480000,0.42089070,2.36835600
0.10599999,447.12720000,0.42089070,1.57941700
0.10799999,447.12720000,0.41295520,1.57941700
0.10999999,447.12720000,0.41295520,1.57941700
0.11199999,455.04730000,0.42089070,0.39370070
0.11399999,443.17480000,0.41295520,1.18417800
0.11599999,447.12720000,0.41295520,2.36835600
0.11799999,447.12720000,0.42089070,0.39370070
0.11999999,439.20700000,0.42089070,1.97465500
0.12199999,439.20700000,0.42089070,1.18417800
0.12399999,443.17480000,0.42882630,0.78893940
0.12599999,439.20700000,0.42882630,0.00000000
