Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,439.20700000,0.42882630,-0.78893940
0.01000000,427.34990000,0.43679260,-2.76359500
0.02000000,427.34990000,0.43679260,-0.78893940
0.03000000,431.30220000,0.42882630,0.00000000
0.04000000,439.20700000,0.43679260,0.39370070
0.05000000,435.25460000,0.43679260,-0.78893940
0.06000000,427.34990000,0.43679260,0.00000000
0.07000000,427.34990000,0.42882630,-1.57941700
0.08000000,427.34990000,0.43679260,-1.57941700
0.09000000,431.30220000,0.42882630,-1.57941700
0.10000000,435.25460000,0.42882630,0.39370070
0.11000000,435.25460000,0.42882630,-0.39370070
0.12000000,431.30220000,0.42882630,-0.78893940
0.13000000,431.30220000,0.43679260,0.39370070
0.14000000,427.34990000,0.43679260,-0.78893940
0.15000000,431.30220000,0.42882630,-1.18417800
0.16000000,431.30220000,0.42882630,0.78893940
0.17000000,431.30220000,0.42882630,0.00000000
0.18000000,431.30220000,0.42882630,0.00000000
0.19000000,431.30220000,0.43679260,-1.18417800
0.20000000,427.34990000,0.43679260,-1.18417800
0.21000000,423.38210000,0.43679260,-1.97465500
0.22000000,435.25460000,0.42882630,-0.39370070
0.22999999,431.30220000,0.42089070,0.00000000
0.23999999,431.30220000,0.43679260,-1.97465500
0.24999999,431.30220000,0.43679260,-1.57941700
0.25999999,427.34990000,0.43679260,-3.15883400
0.26999999,427.34990000,0.43679260,-2.36835600
0.27999999,431.30220000,0.42882630,-1.57941700
0.28999999,439.20700000,0.42882630,0.39370070
0.29999999,435.25460000,0.42882630,-0.39370070
0.30999999,435.25460000,0.43679260,-0.78893940
0.31999999,435.25460000,0.43679260,-1.57941700
0.32999999,423.38210000,0.44472810,-1.97465500
0.33999999,427.34990000,0.43679260,-2.36835600
0.34999999,435.25460000,0.42089070,0.39370070
0.35999999,439.20700000,0.42882630,-0.39370070
0.36999999,431.30220000,0.42882630,-0.78893940
0.37999999,431.30220000,0.43679260,-2.76359500
0.38999999,427.34990000,0.43679260,-1.57941700
0.39999999,423.38210000,0.43679260,-2.36835600
0.40999999,435.25460000,0.42882630,-0.78893940
0.41999999,443.17480000,0.42089070,1.97465500
0.42999999,435.25460000,0.42882630,-0.78893940
0.43999999,431.30220000,0.43679260,-1.18417800
0.44999999,423.38210000,0.44472810,-3.55407200
0.45999999,419.42970000,0.44472810,-2.76359500
0.46999999,435.25460000,0.42882630,-0.39370070
0.47999999,447.12720000,0.42089070,0.78893940
0.48999999,439.20700000,0.42089070,0.78893940
0.49999999,435.25460000,0.42882630,-0.78893940
0.50999999,423.38210000,0.44472810,-3.15883400
0.51999999,407.55720000,0.46059920,-4.73825000
0.52999999,423.38210000,0.44472810,-2.36835600
0.53999999,443.17480000,0.42089070,1.18417800
0.54999999,443.17480000,0.42089070,1.97465500
0.55999999,443.17480000,0.42089070,0.78893940
0.56999999,431.30220000,0.42882630,0.00000000
0.57999999,411.50960000,0.45266360,-5.52872800
0.58999999,411.50960000,0.46059920,-5.92396600
0.59999999,431.30220000,0.43679260,-0.78893940
0.60999999,443.17480000,0.42089070,0.78893940
0.61999999,439.20700000,0.42882630,0.39370070
0.62999999,439.20700000,0.42882630,0.39370070
0.63999999,419.42970000,0.44472810,-3.15883400
0.64999999,407.55720000,0.46853470,-5.52872800
0.65999999,427.34990000,0.43679260,-1.97465500
0.66999999,439.20700000,0.42089070,1.18417800
0.67999998,435.25460000,0.42882630,0.39370070
0.68999998,443.17480000,0.42882630,1.18417800
0.69999998,423.38210000,0.43679260,-2.36835600
0.70999998,403.60480000,0.46059920,-4.73825000
0.71999998,419.42970000,0.45266360,-3.15883400
0.72999998,439.20700000,0.42882630,0.00000000
0.73999998,443.17480000,0.42089070,0.78893940
0.74999998,443.17480000,0.42882630,0.78893940
0.75999998,427.34990000,0.42882630,-1.18417800
0.76999998,415.47730000,0.45266360,-5.92396600
0.77999998,403.60480000,0.45266360,-5.13348900
0.78999998,435.25460000,0.42882630,-1.18417800
0.79999998,443.17480000,0.42089070,0.78893940
0.80999998,443.17480000,0.42089070,0.00000000
0.81999998,435.25460000,0.42089070,0.78893940
0.82999998,419.42970000,0.44472810,-3.15883400
0.83999998,403.60480000,0.46059920,-7.50338300
0.84999998,423.38210000,0.44472810,-1.97465500
0.85999998,439.20700000,0.42089070,0.78893940
0.86999998,443.17480000,0.42089070,1.18417800
0.87999998,435.25460000,0.42089070,2.36835600
0.88999998,427.34990000,0.43679260,-1.97465500
0.89999998,407.55720000,0.46059920,-7.50338300
0.90999998,415.47730000,0.44472810,-5.52872800
0.91999998,435.25460000,0.42882630,1.18417800
0.92999998,443.17480000,0.42089070,1.97465500
0.93999998,443.17480000,0.42882630,-0.78893940
0.94999998,435.25460000,0.42882630,-0.78893940
0.95999998,411.50960000,0.45266360,-4.34454900
0.96999998,411.50960000,0.46059920,-4.34454900
0.97999998,435.25460000,0.43679260,-0.39370070
0.98999998,439.20700000,0.42089070,0.78893940
0.99999998,439.20700000,0.42089070,0.78893940
1.00999998,439.20700000,0.42882630,-1.57941700
1.01999998,419.42970000,0.44472810,-3.94931100
1.02999998,407.55720000,0.46059920,-5.52872800
