Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,431.30220000,0.43679260,-2.36835600
0.01000000,411.50960000,0.46059920,-4.34454900
0.02000000,399.63700000,0.46853470,-7.50338300
0.03000000,411.50960000,0.44472810,-3.15883400
0.04000000,435.25460000,0.42882630,-0.78893940
0.05000000,435.25460000,0.43679260,0.39370070
0.06000000,431.30220000,0.43679260,-0.78893940
0.07000000,423.38210000,0.45266360,-3.55407200
0.08000000,399.63700000,0.46853470,-6.31920500
0.09000000,407.55720000,0.46059920,-5.13348900
0.10000000,431.30220000,0.42882630,-0.78893940
0.11000000,435.25460000,0.42089070,0.78893940
0.12000000,435.25460000,0.42882630,-0.78893940
0.13000000,423.38210000,0.43679260,-2.36835600
0.14000000,403.60480000,0.46853470,-6.31920500
0.15000000,403.60480000,0.46853470,-6.71444300
0.16000000,423.38210000,0.43679260,-1.97465500
0.17000000,439.20700000,0.42882630,-0.78893940
0.18000000,431.30220000,0.42089070,-0.39370070
0.19000000,435.25460000,0.44472810,-1.57941700
0.20000000,407.55720000,0.45266360,-3.55407200
0.21000000,399.63700000,0.46853470,-7.10814400
0.22000000,411.50960000,0.44472810,-5.13348900
0.22999999,435.25460000,0.42882630,0.00000000
0.23999999,431.30220000,0.42882630,-0.39370070
0.24999999,431.30220000,0.43679260,-1.57941700
0.25999999,419.42970000,0.44472810,-2.76359500
0.26999999,399.63700000,0.46853470,-7.89862200
0.27999999,407.55720000,0.46059920,-5.92396600
0.28999999,431.30220000,0.42882630,-0.78893940
0.29999999,435.25460000,0.42882630,-0.78893940
0.30999999,435.25460000,0.43679260,-1.57941700
0.31999999,427.34990000,0.43679260,-1.97465500
0.32999999,407.55720000,0.46853470,-6.71444300
0.33999999,399.63700000,0.46059920,-6.31920500
0.34999999,423.38210000,0.44472810,-2.76359500
0.35999999,439.20700000,0.43679260,-0.78893940
0.36999999,435.25460000,0.43679260,-1.18417800
0.37999999,427.34990000,0.42882630,-1.57941700
0.38999999,411.50960000,0.45266360,-5.52872800
0.39999999,395.68460000,0.46853470,-9.08433800
0.40999999,415.47730000,0.45266360,-5.92396600
0.41999999,431.30220000,0.42882630,0.78893940
0.42999999,435.25460000,0.42882630,-0.39370070
0.43999999,427.34990000,0.42882630,-1.57941700
0.44999999,419.42970000,0.44472810,-3.55407200
0.45999999,399.63700000,0.46853470,-7.10814400
0.46999999,407.55720000,0.46059920,-5.13348900
0.47999999,427.34990000,0.43679260,-0.39370070
0.48999999,439.20700000,0.42882630,0.39370070
0.49999999,435.25460000,0.42882630,0.00000000
0.50999999,423.38210000,0.44472810,-1.97465500
0.51999999,403.60480000,0.46059920,-6.71444300
0.52999999,399.63700000,0.46853470,-7.50338300
0.53999999,419.42970000,0.44472810,-1.97465500
0.54999999,435.25460000,0.42882630,0.78893940
0.55999999,435.25460000,0.42882630,-1.18417800
0.56999999,427.34990000,0.42882630,-1.97465500
0.57999999,411.50960000,0.45266360,-3.55407200
0.58999999,399.63700000,0.46853470,-6.31920500
0.59999999,415.47730000,0.44472810,-4.34454900
0.60999999,431.30220000,0.42882630,0.00000000
0.61999999,435.25460000,0.42882630,-0.39370070
0.62999999,435.25460000,0.43679260,-2.76359500
0.63999999,423.38210000,0.45266360,-3.55407200
0.64999999,395.68460000,0.46853470,-6.71444300
0.65999999,403.60480000,0.46059920,-4.34454900
0.66999999,431.30220000,0.43679260,-2.36835600
0.67999998,435.25460000,0.42882630,0.00000000
0.68999998,435.25460000,0.43679260,-1.57941700
0.69999998,423.38210000,0.43679260,-1.97465500
0.70999998,403.60480000,0.46059920,-6.31920500
0.71999998,399.63700000,0.46853470,-6.31920500
0.72999998,423.38210000,0.44472810,-2.76359500
0.73999998,439.20700000,0.43679260,0.00000000
0.74999998,431.30220000,0.42882630,-0.78893940
0.75999998,427.34990000,0.43679260,-1.18417800
0.76999998,411.50960000,0.46059920,-4.34454900
0.77999998,395.68460000,0.46853470,-6.71444300
0.78999998,415.47730000,0.45266360,-3.55407200
0.79999998,439.20700000,0.42882630,0.39370070
0.80999998,431.30220000,0.42882630,0.00000000
0.81999998,431.30220000,0.43679260,-0.78893940
0.82999998,415.47730000,0.44472810,-3.94931100
0.83999998,395.68460000,0.46853470,-7.10814400
0.84999998,403.60480000,0.46059920,-5.13348900
0.85999998,431.30220000,0.43679260,-0.39370070
0.86999998,439.20700000,0.42882630,1.18417800
0.87999998,431.30220000,0.42882630,-0.78893940
0.88999998,423.38210000,0.44472810,-2.36835600
0.89999998,407.55720000,0.46853470,-5.13348900
0.90999998,399.63700000,0.46853470,-5.92396600
0.91999998,423.38210000,0.43679260,-2.36835600
0.92999998,439.20700000,0.42882630,0.00000000
0.93999998,435.25460000,0.43679260,-1.57941700
0.94999998,427.34990000,0.43679260,-0.39370070
0.95999998,411.50960000,0.46059920,-3.94931100
0.96999998,395.68460000,0.46853470,-7.10814400
0.97999998,415.47730000,0.45266360,-3.55407200
0.98999998,439.20700000,0.42882630,-1.57941700
0.99999998,431.30220000,0.42882630,-0.39370070
1.00999998,431.30220000,0.43679260,-2.36835600
1.01999998,419.42970000,0.44472810,-3.94931100
1.02999998,395.68460000,0.46853470,-7.10814400
