Time,Channel A,Channel B,Channel C
(s),(mV),(V),(mV)

0.00000000,447.12720000,0.42089070,1.18417800
0.01000000,443.17480000,0.42089070,0.00000000
0.02000000,447.12720000,0.42089070,2.76359500
0.03000000,447.12720000,0.42089070,1.18417800
0.04000000,443.17480000,0.42089070,1.57941700
0.05000000,447.12720000,0.42089070,1.18417800
0.06000000,447.12720000,0.42089070,0.78893940
0.07000000,447.12720000,0.42089070,2.76359500
0.08000000,439.20700000,0.41295520,1.57941700
0.09000000,447.12720000,0.42089070,0.00000000
0.10000000,443.17480000,0.41295520,-0.39370070
0.11000000,447.12720000,0.42089070,1.57941700
0.12000000,447.12720000,0.42089070,1.18417800
0.13000000,443.17480000,0.42089070,3.15883400
0.14000000,447.12720000,0.42089070,1.97465500
0.15000000,447.12720000,0.42089070,0.78893940
0.16000000,447.12720000,0.42089070,0.78893940
0.17000000,443.17480000,0.42089070,1.18417800
0.18000000,447.12720000,0.42089070,0.39370070
0.19000000,447.12720000,0.42089070,1.18417800
0.20000000,443.17480000,0.42089070,2.76359500
0.21000000,443.17480000,0.42089070,1.18417800
0.22000000,443.17480000,0.42089070,2.36835600
0.22999999,447.12720000,0.42089070,1.97465500
0.23999999,443.17480000,0.42089070,0.78893940
0.24999999,447.12720000,0.42882630,1.97465500
0.25999999,451.07960000,0.42089070,1.57941700
0.26999999,451.07960000,0.42089070,2.76359500
0.27999999,443.17480000,0.42089070,1.97465500
0.28999999,447.12720000,0.42089070,2.36835600
0.29999999,447.12720000,0.41295520,1.97465500
0.30999999,447.12720000,0.42089070,2.76359500
0.31999999,443.17480000,0.42089070,1.57941700
0.32999999,447.12720000,0.42089070,2.76359500
0.33999999,447.12720000,0.42089070,1.57941700
0.34999999,447.12720000,0.42089070,0.78893940
0.35999999,443.17480000,0.42089070,1.97465500
0.36999999,443.17480000,0.42089070,1.18417800
0.37999999,447.12720000,0.42089070,1.97465500
0.38999999,443.17480000,0.42089070,1.97465500
0.39999999,447.12720000,0.42089070,1.57941700
0.40999999,447.12720000,0.42089070,1.57941700
0.41999999,451.07960000,0.42089070,1.57941700
0.42999999,443.17480000,0.42882630,0.39370070
0.43999999,443.17480000,0.42089070,1.57941700
0.44999999,447.12720000,0.42089070,2.36835600
0.45999999,443.17480000,0.42089070,1.97465500
0.46999999,447.12720000,0.42089070,1.97465500
0.47999999,443.17480000,0.42089070,2.36835600
0.48999999,443.17480000,0.42089070,0.78893940
0.49999999,443.17480000,0.42089070,1.97465500
0.50999999,439.20700000,0.42089070,1.97465500
0.51999999,443.17480000,0.42089070,1.18417800
0.52999999,443.17480000,0.42089070,0.78893940
0.53999999,447.12720000,0.42089070,0.78893940
0.54999999,447.12720000,0.42882630,2.36835600
0.55999999,443.17480000,0.41295520,1.57941700
0.56999999,443.17480000,0.42089070,0.39370070
0.57999999,447.12720000,0.42089070,0.39370070
0.58999999,443.17480000,0.42089070,1.18417800
0.59999999,443.17480000,0.42089070,1.57941700
0.60999999,447.12720000,0.42882630,2.36835600
0.61999999,447.12720000,0.42882630,2.36835600
0.62999999,447.12720000,0.42882630,1.57941700
0.63999999,443.17480000,0.42089070,1.57941700
0.64999999,447.12720000,0.42089070,1.18417800
0.65999999,439.20700000,0.42089070,1.97465500
0.66999999,443.17480000,0.42089070,0.78893940
0.67999998,443.17480000,0.42089070,1.18417800
0.68999998,443.17480000,0.42089070,1.97465500
0.69999998,447.12720000,0.42882630,2.76359500
0.70999998,447.12720000,0.42089070,0.39370070
0.71999998,447.12720000,0.42089070,1.97465500
0.72999998,439.20700000,0.41295520,0.78893940
0.73999998,443.17480000,0.42089070,0.39370070
0.74999998,439.20700000,0.41295520,1.97465500
0.75999998,439.20700000,0.42089070,1.57941700
0.76999998,443.17480000,0.42089070,1.57941700
0.77999998,443.17480000,0.42882630,2.36835600
0.78999998,443.17480000,0.42089070,0.00000000
0.79999998,443.17480000,0.42089070,1.57941700
0.80999998,447.12720000,0.42089070,1.18417800
0.81999998,447.12720000,0.42882630,0.39370070
0.82999998,447.12720000,0.42089070,0.78893940
0.83999998,443.17480000,0.42089070,3.15883400
0.84999998,443.17480000,0.42089070,1.57941700
0.85999998,443.17480000,0.42089070,1.57941700
0.86999998,439.20700000,0.42089070,1.18417800
0.87999998,451.07960000,0.42882630,1.57941700
0.88999998,443.17480000,0.42089070,1.18417800
0.89999998,439.20700000,0.42089070,1.57941700
0.90999998,447.12720000,0.42882630,0.78893940
0.91999998,447.12720000,0.42089070,1.57941700
0.92999998,447.12720000,0.42089070,2.76359500
0.93999998,443.17480000,0.42089070,1.97465500
0.94999998,447.12720000,0.42089070,1.57941700
0.95999998,447.12720000,0.42089070,1.57941700
0.96999998,443.17480000,0.42089070,1.57941700
0.97999998,439.20700000,0.42089070,1.57941700
0.98999998,443.17480000,0.42089070,1.57941700
0.99999998,443.17480000,0.42089070,1.97465500
1.00999998,447.12720000,0.42089070,1.57941700
1.01999998,447.12720000,0.42089070,0.78893940
1.02999998,443.17480000,0.42089070,0.78893940
